Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Диаметр;Высота;Вес;Долговечность;Упаковка;"Срок годности"
"Букеты, Букеты/Розы, По случаю/День рождения, По случаю/14 февраля, По случаю/8 марта, Композиции/Весенние, Композиции, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Бабушке, Кому/Учителю";"Бархатная жемчужина";1540.00;barhatnaya-zhemchuzhina;1;;;"малый (15-20см)";;;;"Бархатная жемчужина";"Эльбрус, Букеты, Розы";"декор - 1 шт.   роза 60 см - 7шт.   рускус - 3шт.   статица - 1 шт.   фетр - 1шт.";"<p>декор - 1 шт. <br /> роза 60 см - 7шт. <br /> рускус - 3шт. <br /> статица - 1 шт. <br /> фетр - 1шт.</p>";;jelbrus_500h600.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, Стиль/Нежный, Композиции/Весенние, Кому/Любимой, Кому/Маме, Кому/Учителю, Композиции";"Любящее сердце";690.00;lyubyaschee-serdtse;1;;;"малый (15-20см)";;;;"Любящее сердце";"Единственная, Букеты, Розы";"декор - 1 шт.   лента - 1 шт.   органза - 1шт.   роза Аква (60 см) - 1шт.   рускус - 2 шт.   тинги - 3 шт.";"<p>декор - 1 шт. <br /> лента - 1 шт. <br /> органза - 1шт. <br /> роза Аква (60 см) - 1шт. <br /> рускус - 2 шт. <br /> тинги - 3 шт.</p>";;edinstvennaja_500h600.jpg;;;;;;
"Букеты, Букеты/Хризантемы, По случаю, По случаю/День рождения, По случаю/Поздравление, По случаю/На свадьбу, По случаю/Благодарность, Композиции, Композиции/Весенние, Стиль, Стиль/Нежный, Кому/Женщине, Кому/Маме, Кому/Учителю, Кому/Бабушке, Кому/Сестре";"Зимнее утро";1290.00;zimnee-utro;1;;;"малый (15-20см)";;;;"Зимнее утро";"Зимняя луна, Букеты, Хризантемы";"гипсофила - 1 шт.   лента - 1 шт.   органза - 1 шт.   триферн (аспарагус) - 5 шт.   хризантема кустовая - 1 шт.";"<p>гипсофила - 1 шт. <br /> лента - 1 шт. <br /> органза - 1 шт. <br /> триферн (аспарагус) - 5 шт. <br /> хризантема кустовая - 1 шт.</p>";;zimnjaja-luna_500h600.jpg;;;;;;
"Композиции/Настольные, Композиции/Экзотические, Букеты/Орхидеи, По случаю/День рождения, По случаю/Поздравление, По случаю/Благодарность, Стиль/Белый, Стиль/Нежный, Кому/Маме, Кому/Бабушке, Кому/Учителю, Кому/Коллеге";"Экзотическая красавица";1420.00;ekzoticheskaya-krasavitsa;1;;;"средний (25-30см)";;;;"Экзотическая красавица";"Малайский цветок, Настольные, Экзотические";"горшечная орхидея - 1 шт.";"<p>горшечная орхидея - 1 шт.</p>";;malajskij-cvetok_500h600.jpg;;;;;;
"Букеты, Букеты/Альстромерии, Букеты/Герберы , По случаю/День рождения, По случаю/Поздравление, По случаю/Проф. праздник, Композиции, Композиции/Весенние, Стиль/Нежный, Кому/Женщине, Кому/Маме, Кому/Деловому партнеру, Кому/Коллеге, Кому/Подруге, Кому/Учителю";"Весенняя прогулка";2990.00;vesennyaya-progulka;1;;;"средний (25-30см)";;;;"Весенняя прогулка";"Счастливая встреча, Букеты, Альстромерии, Герберы ";"альстромерия - 3 шт.   гербера - 5 шт.   гипсофила - 2 шт.   лента - 1шт.   лист аспидистры - 8шт.   рускус - 6 шт.   сизаль - 1 шт.   эустома (лизиантус) - 5 шт.";"<p>альстромерия - 3 шт. <br /> гербера - 5 шт. <br /> гипсофила - 2 шт. <br /> лента - 1шт. <br /> лист аспидистры - 8шт. <br /> рускус - 6 шт. <br /> сизаль - 1 шт. <br /> эустома (лизиантус) - 5 шт.</p>";;schastlivaja-vstrecha_500x600.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/14 февраля, По случаю/8 марта, Композиции/Дизайнерские, Стиль/Яркий, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Учителю, Кому/Бабушке, Кому/Жене, Кому/Коллеге, Кому/Подруге";"Знак внимания";1430.00;znak-vnimaniya;1;;;"Малый 15-20 см";;;;"Знак внимания";"Алые паруса, Букеты";;;;alye-parusa_s_1.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/14 февраля, По случаю/8 марта, Композиции/Дизайнерские, Стиль/Яркий, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Учителю, Кому/Бабушке, Кому/Жене, Кому/Коллеге, Кому/Подруге";"Знак внимания";2590.00;znak-vnimaniya;1;;;"Средний 25-30 см";;;;"Знак внимания";"Алые паруса, Букеты";;;;alye-parusa_s_1.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/День рождения, По случаю/Поздравление, По случаю/14 февраля, По случаю/8 марта, Композиции/Дизайнерские, Стиль/Яркий, Кому/Женщине, Кому/Маме, Кому/Любимой, Кому/Учителю, Кому/Бабушке, Кому/Жене, Кому/Коллеге, Кому/Подруге";"Знак внимания";5740.00;znak-vnimaniya;1;;;"Большой 35-40 см";;;;"Знак внимания";"Алые паруса, Букеты";;;;alye-parusa_s_1.jpg;;;;;;
"Композиции/Настольные, Композиции/Экзотические, По случаю/День рождения, По случаю/Поздравление, По случаю/14 февраля, По случаю/8 марта, Стиль/Нежный, Кому/Женщине, Кому/Маме, Кому/Учителю, Кому/Бабушке, Кому/Коллеге";"Порхающая бабочка";1190.00;porhayuschaya-babochka;1;;;"малый (15-20см)";;;;"Порхающая бабочка";"Ночной мотылек, Настольные, Экзотические";"орхидея фаленопсис - 1 шт.";"<p>орхидея фаленопсис - 1 шт.</p>";;nochnoj-motylek_500h600.jpg;;;;;;
"Букеты, Букеты/Розы, Букеты/Ирисы, Букеты/Альстромерии";"Первое свидание";3500.00;pervoe-svidanie;1;;;"средний (25-30см)";;;;"Первое свидание";"Первое свидание, Букеты, Розы, Ирисы, Альстромерии";"альстромерия - 4 шт.   ирис - 3 шт.   лента - 2 шт.   органза - 1 шт.   роза кустовая - 4 шт.   роза 60 см - 9 шт.   рускус - 8 шт.   сизаль - 1 шт.";"<p>альстромерия - 4 шт. <br /> ирис - 3 шт. <br /> лента - 2 шт. <br /> органза - 1 шт. <br /> роза кустовая - 4 шт. <br /> роза 60 см - 9 шт. <br /> рускус - 8 шт. <br /> сизаль - 1 шт.</p>";;rozovyj-fljor_500h600.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, По случаю/14 февраля, По случаю/8 марта, По случаю/День рождения, Композиции/Весенние, Стиль/Яркий, Кому/Женщине, Кому/Маме, Кому/Деловому партнеру, Кому/Учителю, Кому/Бабушке, Кому/Подруге";"Яркий коктейль";2680.00;yarkij-koktejl;1;;;"средний (25-30см)";;;;"Яркий коктейль";"Поцелуй на ночь, Букеты, Тюльпаны";"лента большая - 1 шт.   тюльпан - 35 шт.   фетр - 1шт.";"<p>лента большая - 1 шт. <br /> тюльпан - 35 шт. <br /> фетр - 1шт.</p>";;poceluj-na-noch_500h600.jpg;;;;;;
"Букеты, По случаю/Новый год, Композиции/Настольные, Композиции/Зимние, Стиль/Яркий, Букеты/Розы, Кому/Женщине, Кому/Маме, Кому/Бабушке, Кому/Дедушке, Кому/Учителю";"Звездная пыль";3670.00;zvezdnaya-pyl;1;;;"Cредний (25-30 см)";;;;"Звездная пыль";"Узоры Снежной королевы, Букеты, Новый год, Настольные, Зимние, Яркий, Букеты, Букеты, Букеты";"вероника вайт - 10 шт. ветка искусственная - 2 шт. гвоздика - 3 шт. ель нобилис - 2 шт. лист аспидистры - 3 шт. пиафлор большой - 1 шт. поддон - 1 шт. роза 60 см - 5 шт. свеча - 5 шт. шар новогодний - 5 шт.";"<p>вероника вайт - 10 шт.<br />ветка искусственная - 2 шт.<br />гвоздика - 3 шт.<br />ель нобилис - 2 шт.<br />лист аспидистры - 3 шт.<br />пиафлор большой - 1 шт.<br />поддон - 1 шт.<br />роза 60 см - 5 шт.<br />свеча - 5 шт.<br />шар новогодний - 5 шт.</p>";;uzory-snezhnoj-korolevy_b.jpg;;;;;;
"По случаю/Свадьба, Композиции, Стиль, Стиль/Нежный, Кому/Молодоженам";"Таинство любви";1800.00;tainstvo-lyubvi;1;;;;;;;"Таинство любви";"Брызги счастья, Свадьба";"альстромерия - 1 шт. аспарагус умбеллатус - 1 шт. берграсс - 1 шт. бокал - 2 шт. декор бусины - 1 шт. роза кустовая - 1 шт. фрезия - 2 шт.";"<p>альстромерия - 1 шт.<br />аспарагус умбеллатус - 1 шт.<br />берграсс - 1 шт.<br />бокал - 2 шт.<br />декор бусины - 1 шт.<br />роза кустовая - 1 шт.<br />фрезия - 2 шт.</p>";;bryzgi-shampanskogo-_b.jpg;;;;;;
"Букеты/Хризантемы, По случаю/День рождения, По случаю/Для новорожденного, Композиции/Настольные, Стиль/Яркий, Кому/Женщине, Кому/Ребёнку";Зайка;5540.00;zajka;0;;;"Малый (15-20см)";;;;Зайка;"Степашка, Хризантемы";"аспарагус умбеллатус - 1 шт. гипсофила - 1 шт. декор - 4 шт. лента - 1 шт. пиафлор большой - 3 шт. поддон - 1 шт. хризантема кустовая - 26 шт.";"<p>аспарагус умбеллатус - 1 шт.<br />гипсофила - 1 шт.<br />декор - 4 шт.<br />лента - 1 шт.<br />пиафлор большой - 3 шт.<br />поддон - 1 шт.<br />хризантема кустовая - 26 шт.</p>";;stepashka_b.jpg;;;;;;
"Букеты/Гвоздики, Композиции, По случаю/День Победы, Композиции/Весенние, Композиции/Дизайнерские, Стиль/Яркий, Кому/Ветеранам, Кому/Бабушке, Кому/Дедушке";"День победы";5120.00;den-pobedy;1;;;"Букет большой (35-50см)";;;;"День победы";"9 Мая, Гвоздики";"гвоздика - 63 шт. рускус - 10 шт. лента - 1 шт.";"<p>гвоздика - 63 шт.<br />рускус - 10 шт.<br />лента - 1 шт.</p>";;9-maja_b.jpg;;;;;;
"По случаю/Свадьба, Композиции/Экзотические, Композиции/Весенние, Стиль/Нежный, Кому/Молодоженам, Кому/Невесте";"Экзотическая нежность";3620.00;ekzoticheskaya-nezhnost;1;;;"Букет малый (15-20см)";;;;"Экзотическая нежность";"Экзотика, Свадьба, Свадьба";"альстромерия - 1 шт. берграсс - 1 шт. бутоньерка - 1 шт. вероника вайт - 5 шт. лента - 4 шт. орхидея ветка - 1 шт. портбукетница - 1 шт. рускус - 5 шт. трахелиум - 3 шт.";"<p>альстромерия - 1 шт.<br />берграсс - 1 шт.<br />бутоньерка - 1 шт.<br />вероника вайт - 5 шт.<br />лента - 4 шт.<br />орхидея ветка - 1 шт.<br />портбукетница - 1 шт.<br />рускус - 5 шт.<br />трахелиум - 3 шт.</p>";;jekzotika_b.jpg;;;;;;
"По случаю, По случаю/Сказать люблю, Букеты/Герберы , По случаю/14 февраля, Композиции/Настольные, Стиль/Нежный, Кому/Любимой, Кому/Жене";Идиллия;1780.00;idilliya;1;;;"Cредний (25-30см)";;;;Идиллия;"Тет-а-тет, По случаю, Букеты";"альстромерия - 2 шт. берграсс - 1 шт. гербера - 3 шт. лимониум - 1 шт. папоротник - 2 шт. пиафлор малый - 2 шт. поддон - 1 шт. рускус - 3 шт. свеча - 2 шт. эустома (лизиантус) - 1 шт.";"<p>альстромерия - 2 шт.<br />берграсс - 1 шт.<br />гербера - 3 шт.<br />лимониум - 1 шт.<br />папоротник - 2 шт.<br />пиафлор малый - 2 шт.<br />поддон - 1 шт.<br />рускус - 3 шт.<br />свеча - 2 шт.<br />эустома (лизиантус) - 1 шт.</p>";;tet-a-tet_b.jpg;;;;;;
